Data;Linha;Fluxo Total;Média Dias Úteis;Maior Máxima Diária
2021-02-01;Verde;6334;279;286
2021-02-01;Prata;966;41;43
2021-02-01;Vermelha;14848;635;658
2021-03-01;Azul;9795;398;531
2021-03-01;Verde;5570;230;286
2021-03-01;Prata;887;36;43
2021-03-01;Vermelha;12699;511;664
2021-04-01;Azul;9192;388;449
2021-04-01;Verde;5161;220;250
2021-04-01;Prata;831;35;39
2021-04-01;Vermelha;11808;493;566
2021-05-01;Azul;11414;459;476
2021-05-01;Verde;6301;256;266
2021-05-01;Prata;970;39;41
2021-05-01;Vermelha;14212;568;592
2021-06-01;Azul;12216;476;497
2021-06-01;Verde;6794;270;277
2021-06-01;Prata;1055;41;43
2021-06-01;Vermelha;15052;589;617
2021-07-01;Azul;12800;489;517
2021-07-01;Verde;7114;275;288
2021-07-01;Prata;1031;43;46
2021-07-01;Vermelha;15736;603;635
2021-08-01;Azul;13887;531;553
2021-08-01;Verde;7899;306;322
2021-08-01;Prata;1176;47;50
2021-08-01;Vermelha;16941;650;680
2021-09-01;Azul;14620;580;600
2021-09-01;Verde;8167;328;338
2021-09-01;Prata;1214;50;51
2021-09-01;Vermelha;17307;691;742
2021-10-01;Azul;15384;614;652
2021-10-01;Verde;8506;348;365
2021-10-01;Prata;1195;52;55
2021-10-01;Vermelha;18109;723;764
2021-11-01;Azul;16326;662;679
2021-11-01;Verde;8913;370;382
2021-11-01;Prata;1330;56;57
2021-11-01;Vermelha;19133;773;792
2021-12-01;Azul;16317;627;712
2021-12-01;Verde;8877;349;398
2021-12-01;Prata;1296;51;59
2021-12-01;Vermelha;19290;737;850
2020-01-01;Azul;23207;900;1001
2020-01-01;Verde;13642;542;598
2020-01-01;Vermelha;26292;1015;1099
2020-01-01;Prata;1385;57;64
2020-02-01;Azul;23702;1048;1107
2020-02-01;Verde;13971;641;678
2020-02-01;Vermelha;26349;1151;1209
2020-02-01;Prata;1454;68;71
2020-03-01;Azul;17319;679;1114
2020-03-01;Verde;10608;423;695
2020-03-01;Vermelha;20390;790;1234
2020-03-01;Prata;;;
2020-04-01;Azul;4839;198;230
2020-04-01;Verde;3039;126;136
2020-04-01;Vermelha;6862;280;312
2020-04-01;Prata;;;
2020-05-01;Azul;5429;229;241
2020-05-01;Verde;3250;139;145
2020-05-01;Vermelha;7604;319;333
2020-05-01;Prata;;;
2020-06-01;Azul;7241;284;319
2020-06-01;Verde;3978;157;175
2020-06-01;Vermelha;9911;386;425
2020-06-01;Prata;405;16;23
2020-07-01;Azul;9406;354;384
2020-07-01;Verde;4984;191;208
2020-07-01;Vermelha;12544;469;510
2020-07-01;Prata;709;27;29
2020-08-01;Azul;10372;406;438
2020-08-01;Verde;5450;218;229
2020-08-01;Vermelha;13451;522;565
2020-08-01;Prata;799;31;34
2020-09-01;Azul;11428;453;473
2020-09-01;Verde;6002;244;255
2020-09-01;Vermelha;14531;573;595
2020-09-01;Prata;882;35;37
2020-10-01;Azul;12750;493;514
2020-10-01;Verde;6647;264;275
2020-10-01;Vermelha;15977;615;648
2020-10-01;Prata;986;38;41
2020-11-01;Azul;12873;520;545
2020-11-01;Verde;6695;276;286
2020-11-01;Vermelha;16020;641;681
2020-11-01;Prata;1002;40;43
2020-12-01;Azul;12855;514;557
2020-12-01;Verde;6482;267;288
2020-12-01;Vermelha;16328;647;719
2020-12-01;Prata;1009;40;44
